Name,Price per Unit,Price per Measure,Promo,Stock
Brooklyn Naranjito Pale Ale Beer 355ml,£1.85,£5.21 per litre,Buy 4 for £6,In stock
Blue Moon Belgian White Belgian-Style Wheat Ale 4 x 330ml,£6,45.5p per 100ml,Buy 2 for £10,Out of stock
Krombacher Pils 660ml,£2.25,£3.41 per litre,Buy 3 for £5,Out of stock
Budweiser Budvar Keg 5L,£14,£2.80 per litre,"Offer price £14, was £16",Out of stock
Peroni Libera 4 x 330ml,£4,£3.03 per litre,"Offer price £4, was £4.50",Out of stock
Stella Artois Premium Lager Beer Cans 18 x 440ml,£14,£1.77 per litre,,In stock
Stella Artois Premium Lager Beer Bottles 20 x 284ml,£9.99,£1.76 per litre,,In stock
Stella Artois Premium Lager Beer Cans 4 x 568ml,£5.50,£2.42 per litre,,In stock
Cobra Premium Beer 12 x 330ml,£9.84,£2.48 per litre,,In stock
Staropramen 12 x 330ml,£9.99,£2.52 per litre,,In stock
Hop House 13 Lager 6 x 330ml,£5.97,£3.02 per litre,,In stock
Stella Artois Premium Lager Beer Cans 4 x 440ml,£4.50,£2.56 per litre,,In stock
Stella Artois Premium Lager Beer Bottle 660ml,£2.25,£3.41 per litre,,In stock
Hop House 13 Lager 650ml,£2.25,£3.46 per litre,,In stock
Korev Cornish Lager 6 x 330ml,£5,£2.53 per litre,,In stock
Gold Label Very Strong Special Beer cans 4 x 330ml,£6,£4.55 per litre,,In stock
Hop House 13 Lager 4 x 330ml,£4.50,£3.41 per litre,,In stock
Cobra Premium Lager 4 x 330ml,£4.60,£3.48 per litre,,In stock
Stella Artois Premium Lager Bottles 4 x 330ml,£4.50,£3.41 per litre,,In stock
Hop House 13 Lager 12 x 330ml,£9.99,£2.52 per litre,,Out of stock
Birra Moretti Lager Beer Bottles 12 x 330ml,£12,£3.03 per litre,,In stock
Biere Continentale Bottles 10 x 25cl,£3,£1.20 per litre,,In stock
Morrisons Premium Lager 4.8% 4 x 440ml,£3.30,£1.88 per litre,,In stock
Erdinger Alkoholfrei 500ml,£1.30,£2.60 per litre,,In stock
San Miguel Premium Lager Beer 10 x 440ml,£11,25p per 100ml,,In stock
Kronenbourg 1664 Lager Beer Cans 10 x 440ml,£11,£2.50 per litre,,In stock
