Name,Price per Unit,Price per Measure,Promo,Stock
Ringwood Everyday IPA Circadian 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Crossing The Rubicon India Pale Ale (Abv 6.9%) 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Ruddles County Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Badger The Blandford Fly Golden Ale 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Exmoor Gold 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
St Peters Citrus Beer (ABV 4.7%) 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Hook Norton Brewery Hooky Gold (Abv 4.1%) 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Lagunitas IPA Beer Bottle 355ml,£1.95,£5.49 per litre,Buy 4 for £6,In stock
St Peters Golden Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Ringwood Boondoggle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
St Peters Organic Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Adnams Lighthouse 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Whitstable Bay Organic Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Black Sheep Brewery Milkshake Ipa 330ml,£1.85,£5.61 per litre,Buy 4 for £6,In stock
Taylor's Knowle Spring Blonde (ABV 4.2%) 500ml,£1.70,£3.40 per litre,Buy 4 for £6,In stock
Otter Bright 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Greene King IPA Reserve Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Brewdog Lost Lager 660ml,£2.60,£3.94 per litre,Buy 2 for £4,In stock
Glamorgan Welsh Cake Stout 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Vocation Brewery Life & Death Ipa 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Brooklyn Naranjito Pale Ale Beer 355ml,£1.85,£5.21 per litre,Buy 4 for £6,In stock
Rudgate Ruby Mild 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Unicorn Premium Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Manchester Pale Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Backyard Brewhouse Blonde 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Dartmoor Brewery Ipa 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Rudgate Jorvik Flaxen Blonde Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Skinner's Brewery Lushingto… 500ml,£1.58,£3.16 per litre,Buy 4 for £6,In stock
Thornbridge Collaboration Salt Tupelo Hazy Pale Ale 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Tower Brewery Burton Strong Ale 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Wood's Shropshire Lass 500ml,£1.58,£3.16 per litre,Buy 4 for £6,In stock
Saltaire Pride 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Trooper Ipa 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Guinness Foreign Extra Stout 4 x 325ml,£6,£4.62 per litre,"Offer price £6, was £6.90",In stock
Roosters Baby Faced Assassin India Pale Ale 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
